2,1
2,30
2,32
2,40
2,50
2,57
2,60
2,61
2,62
2,63
2,64
2,65
2,66
2,67
2,75
2,86
2,97
2,99
4,31
4,36
4,37
4,38
4,39
4,43
4,46
4,86
4,97
4,99
7,2
7,4
7,5
7,6
7,7
7,10
7,14
7,15
7,16
7,17
7,19
7,20
7,21
7,22
7,23
7,24
7,26
7,27
7,28
7,66
7,81
7,83
7,84
7,86
7,97
7,99
16,27
16,28
16,29
16,30
16,31
16,32
16,33
16,34
16,35
16,36
16,37
16,38
16,39
16,40
16,41
16,42
16,44
16,45
16,46
16,47
16,48
16,86
16,90
16,93
16,97
16,99
17,1
17,2
17,8
17,25
17,86
17,97
17,99
18,1
18,4
18,11
18,12
18,15
18,60
18,61
18,65
18,66
18,71
18,75
18,78
18,86
18,87
18,94
18,97
18,99
19,2
19,3
19,66
19,82
19,83
19,84
19,85
19,86
19,87
19,88
19,92
19,93
19,94
19,95
19,96
19,99
29,3
29,7
29,9
29,10
29,12
29,14
29,15
29,18
29,22
29,24
29,26
29,27
29,31
29,32
29,33
29,34
29,36
29,37
29,38
29,42
29,44
29,46
29,66
29,67
29,68
29,80
29,81
29,86
29,97
29,99
31,1
31,8
31,9
31,11
31,13
31,14
31,15
31,24
31,86
31,97
31,99
33,11
33,12
33,22
33,25
33,26
33,28
33,34
33,66
33,80
33,85
33,86
33,97
33,98
33,99
38,21
38,41
38,50
38,80
38,86
38,94
38,97
38,99
39,83
39,84
39,85
39,86
39,92
39,93
39,94
39,99
40,1
40,2
40,10
40,11
40,15
40,18
40,19
40,36
40,37
40,50
40,58
40,59
40,60
40,61
40,62
40,63
40,66
40,67
40,68
40,71
40,78
40,86
40,95
40,97
40,98
40,99
41,2
41,5
41,6
41,8
41,10
41,12
41,14
41,15
41,18
41,20
41,23
41,31
41,32
41,33
41,34
41,35
41,36
41,37
41,38
41,39
41,49
41,50
41,53
41,55
41,60
41,66
41,70
41,71
41,72
41,76
41,78
41,86
41,88
41,91
41,97
41,98
41,99
43,1
43,2
43,3
43,4
43,6
43,7
43,8
43,15
43,18
43,30
43,31
43,76
43,86
43,97
43,99
45,1
45,4
45,5
45,13
45,51
45,58
45,66
45,86
45,92
45,97
45,99
48,66
48,82
48,83
48,84
48,85
48,86
48,87
48,90
48,91
48,92
48,93
48,94
48,95
48,96
48,97
48,99
49,1
49,2
49,3
49,5
49,6
49,7
49,8
49,9
49,11
49,66
49,78
49,86
49,99
74,20
74,30
74,35
74,40
74,50
74,60
74,86
74,93
74,98
75,2
75,4
75,10
75,11
75,62
75,86
75,97
75,98
77,1
77,2
77,3
77,5
77,6
77,7
77,15
77,18
77,24
77,25
77,28
77,34
77,46
77,50
77,54
77,57
77,67
77,68
77,77
77,86
77,97
77,98
77,99
88,1
88,8
88,13
88,15
88,16
88,17
88,24
88,44
88,83
88,86
88,93
88,97
88,99
